,player_code,first_name,web_name,second_name,player_name,position_id,position,team,selected,season_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
64,65.0,Jack,Stacey,Stacey,Jack Stacey,2.0,DEF,Bournemouth,127467.0,5.0,292.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,295.0,0.0,0.09,0.03,6.140000000000001,0.0,7.63,2.63
65,66.0,Dominic,Solanke,Solanke,Dominic Solanke,4.0,FWD,Bournemouth,7390592.0,80.0,1882.0,3.0,7.0,6.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1885.0,0.0,4.65,1.21,35.4,6.0,70.23,-9.77
66,67.0,Lewis,Cook,Cook,Lewis Cook,3.0,MID,Bournemouth,191169.0,45.0,1514.0,0.0,2.0,3.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1515.0,0.0,0.2,2.02,28.12,2.0,45.06,0.06000000000000025
67,68.0,Ben,Pearson,Pearson,Ben Pearson,3.0,MID,Bournemouth,626825.0,9.0,282.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,285.0,0.0,0.05,0.02,5.92,0.0,7.31,-1.69
68,69.0,Ryan,Christie,Christie,Ryan Christie,3.0,MID,Bournemouth,159114.0,38.0,1057.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1055.0,0.0,1.56,1.08,19.32,2.0,41.04,3.04
69,70.0,Philip,Billing,Billing,Philip Billing,3.0,MID,Bournemouth,1849033.0,94.0,1952.0,6.0,1.0,7.0,41.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,1965.0,0.0,2.5300000000000002,1.59,36.64,4.0,65.42,-28.580000000000002
70,71.0,Chris,Mepham,Mepham,Chris Mepham,2.0,DEF,Bournemouth,366444.0,27.0,1747.0,0.0,0.0,3.0,44.0,2.0,0.0,0.0,7.0,0.0,0.0,4.0,1750.0,0.0,0.5700000000000001,0.48,35.35,0.0,31.86,4.86
71,72.0,Mark,Travers,Travers,Mark Travers,1.0,GK,Bournemouth,1226790.0,25.0,945.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,945.0,0.0,0.0,0.0,18.68,0.0,15.0,-10.0
72,73.0,Lloyd,Kelly,Kelly,Lloyd Kelly,2.0,DEF,Bournemouth,1996017.0,34.0,1080.0,0.0,2.0,3.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1080.0,0.0,0.12000000000000001,0.53,20.77,0.0,18.31,-15.690000000000001
73,74.0,Siriki,Dembélé,Dembélé,Siriki Dembélé,3.0,MID,Bournemouth,222110.0,6.0,104.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.16,0.21,2.28,0.0,5.43,-0.57
